wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1067.0097,0,0.58183,7.5831e-08,3.8241,4.406
1067.0196,0,0.58183,7.5835e-08,3.824,4.4058
1067.0295,0,0.58183,7.5838e-08,3.8238,4.4056
1067.0394,0,0.58183,7.5842e-08,3.8237,4.4055
1067.0493,0,0.58183,7.5845e-08,3.8235,4.4053
1067.0592,0,0.58183,7.5849e-08,3.8234,4.4052
1067.0691,0,0.58183,7.5853e-08,3.8232,4.405
1067.0790,0,0.58183,7.5857e-08,3.823,4.4049
1067.0889,0,0.58183,7.5861e-08,3.8229,4.4047
1067.0988,0,0.58183,7.5865e-08,3.8227,4.4046
1067.1087,0,0.58183,7.5869e-08,3.8226,4.4044
1067.1186,0,0.58183,7.5873e-08,3.8224,4.4043
1067.1285,0,0.58183,7.5877e-08,3.8223,4.4041
1067.1384,0,0.58183,7.5881e-08,3.8221,4.4039
1067.1483,0,0.58183,7.5885e-08,3.822,4.4038
1067.1582,0,0.58183,7.589e-08,3.8218,4.4036
1067.1681,0,0.58183,7.5894e-08,3.8217,4.4035
1067.1780,0,0.58183,7.5898e-08,3.8215,4.4033
1067.1879,0,0.58183,7.5903e-08,3.8213,4.4032
1067.1978,0,0.58183,7.5907e-08,3.8212,4.403
1067.2077,0,0.58183,7.5912e-08,3.821,4.4029
1067.2176,0,0.58183,7.5916e-08,3.8209,4.4027
1067.2275,0,0.58183,7.5921e-08,3.8207,4.4026
1067.2374,0,0.58183,7.5926e-08,3.8206,4.4024
1067.2473,0,0.58183,7.5931e-08,3.8204,4.4022
1067.2572,0,0.58183,7.5936e-08,3.8203,4.4021
1067.2671,0,0.58183,7.5941e-08,3.8201,4.4019
1067.2770,0,0.58183,7.5945e-08,3.82,4.4018
1067.2869,0,0.58183,7.5951e-08,3.8198,4.4016
1067.2968,0,0.58183,7.5956e-08,3.8196,4.4015
1067.3067,0,0.58183,7.5961e-08,3.8195,4.4013
1067.3166,0,0.58183,7.5966e-08,3.8193,4.4012
1067.3265,0,0.58183,7.5971e-08,3.8192,4.401
